HokinRight_Hand
Dev2/ai0 Dev2/ai1
[-4.95965169e-01  6.39691229e-01  1.69204498e+09]
[-4.76911797e-01  5.99776159e-01  1.69204498e+09]
[-4.58252974e-01  5.58348655e-01  1.69204498e+09]
[-4.44871227e-01  5.31026229e-01  1.69204498e+09]
[-4.37309061e-01  4.93905868e-01  1.69204498e+09]
[-4.19817441e-01  3.82577659e-01  1.69204498e+09]
[-4.08934498e-01  3.55616899e-01  1.69204498e+09]
[-4.42980686e-01  3.65431273e-01  1.69204498e+09]
[-4.62445044e-01  3.89827473e-01  1.69204498e+09]
[-4.81202505e-01  4.26651926e-01  1.69204498e+09]
[-4.98266698e-01  4.61470760e-01  1.69204498e+09]
[-4.98135182e-01  4.98295211e-01  1.69204498e+09]
[-4.63793083e-01  5.06827305e-01  1.69204498e+09]
[-4.09246848e-01  5.06301241e-01  1.69204498e+09]
[-3.81809336e-01  4.99363778e-01  1.69204498e+09]
[-3.87743992e-01  4.97670510e-01  1.69204498e+09]
[-3.75660966e-01  4.93067454e-01  1.69204498e+09]
[-3.47269963e-01  4.81115947e-01  1.69204498e+09]
[-3.36271943e-01  4.74408636e-01  1.69204498e+09]
[-3.30172891e-01  4.71186497e-01  1.69204498e+09]
[-3.40447574e-01  4.61092652e-01  1.69204498e+09]
[-3.49571492e-01  4.60172041e-01  1.69204498e+09]
[-3.48437167e-01  4.70298765e-01  1.69204498e+09]
[-3.44294415e-01  4.71630363e-01  1.69204498e+09]
[-2.99414602e-01  4.53793520e-01  1.69204498e+09]
[-2.88383703e-01  4.01811860e-01  1.69204498e+09]
[-3.05135545e-01  3.99197981e-01  1.69204498e+09]
[-3.33263516e-01  4.19336354e-01  1.69204498e+09]
[-3.35466408e-01  4.11724871e-01  1.69204498e+09]
[-3.16363718e-01  4.08650687e-01  1.69204498e+09]
[-3.06730176e-01  3.90386416e-01  1.69204498e+09]
[-2.97672016e-01  3.85438130e-01  1.69204498e+09]
[-2.94860863e-01  3.82446143e-01  1.69204498e+09]
[-2.96225340e-01  3.82725615e-01  1.69204498e+09]
[-2.90356442e-01  3.81476213e-01  1.69204498e+09]
[-2.84816333e-01  3.77349902e-01  1.69204498e+09]
[-2.79933804e-01  3.72335858e-01  1.69204498e+09]
[-2.76448632e-01  3.64198311e-01  1.69204498e+09]
[-2.68426160e-01  3.64412025e-01  1.69204498e+09]
[-2.72075727e-01  3.76314214e-01  1.69204498e+09]
[-2.71467466e-01  3.86950563e-01  1.69204498e+09]
[-2.80410549e-01  3.98984268e-01  1.69204498e+09]
[-2.91046901e-01  4.07943789e-01  1.69204498e+09]
